2017/05/26 23:05:20 -0700 892 | 1495865120 | 13544 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/05/26 23:21:08 -0700 291 | 1495866068 | 22536 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/26 23:21:08 -0700 302 | 1495866068 | 22536 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/26 23:21:08 -0700 303 | 1495866068 | 22536 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/05/27 01:31:21 -0700 119 | 1495873881 | 69168 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/27 01:31:21 -0700 139 | 1495873881 | 69168 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/27 01:31:21 -0700 141 | 1495873881 | 69168 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/07/27 10:48:07 -0700 809 | 1501177687 | 39780 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/07/30 20:27:43 -0700 189 | 1501471663 | 27500 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/04/22 11:06:55 -0700 241 | 1524420415 | 21928 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.fotmh3.com.21928 for resource cacheResource: fileConnector
2018/05/01 00:23:37 -0700 724 | 1525159417 | 20756 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/95984269091298e67b3f495cf04a58c8.fotmh3.com.20756 for resource cacheResource: fileConnector
2019/07/04 00:15:36 -0700 844 | 1562224536 | 64230 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2019/07/10 01:01:09 -0700 376 | 1562745669 | 89186 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2019/07/10 04:49:21 -0700 253 | 1562759361 | 90382 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2019/07/10 04:49:21 -0700 265 | 1562759361 | 90382 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2020/02/01 20:16:32 -0800 946 | 1580616992 | 77891 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2020/02/28 01:03:10 -0800 849 | 1582880590 | 69717 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2020/03/20 07:03:24 -0700 940 | 1584713004 | 28491 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2020/04/10 16:32:41 -0700 952 | 1586561561 | 24680 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
